Hostname,Last Seen,First Seen,Platform,OS Version,OS Build,OS Product Name,Kernel Version,Model,Manufacturer,Type,Chassis,Last Reboot,OU,Site,Prevention Policy,Response Policy,Sensor Update Policy,USB Device Policy,Kubernetes Admission Control Policy,Host ID,Local IP,Connection IP,Default Gateway IP,External IP,Domain,MAC Address,Connection MAC Address,Status,CPUID,Serial Number,Sensor Version,Sensor Tags,Cloud Service Provider,Cloud Service Account ID,Cloud Service Instance ID,Cloud Service Zone/Group,Kubernetes Cluster ID,Kubernetes Server Git Version,Kubernetes Server Version,RFM,Linux Sensor Mode,Deployment Type,Email,Pod ID,Pod Name,Pod Namespace,Pod Labels,Pod Annotations,Pod IP4,Pod IP6,Pod Hostname,Pod Host IP4,Pod Host IP6,Pod Service Account Name,Host Groups
CP-CWB-W1122,2023-09-11T14:34:29Z,2022-12-19T13:01:45Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3086,Aspire A515-54,Acer,Workstation,Laptop,2023-09-06T20:11:49Z,,,"General-Prevention-Windows-Workstation
28 Jun 23 20:33 UTC","General-Response-Windows
19 Dec 22 13:09 UTC","General-Sensor-Windows
29 Aug 23 14:29 UTC",No policy,No policy,8cb27855efc14264b4268803cd266483,10.111.140.112,10.111.140.112,10.111.140.1,191.177.172.250,,96-18-ed-cd-96-ba,96-18-ed-cd-96-ba,normal,526060,NXHQMAL00T14907A599Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W6489,2023-09-11T14:53:37Z,2023-05-11T18:26:23Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-05T15:16:49Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 14:57 UTC","General-Response-Windows
12 May 23 13:38 UTC","General-Sensor-Windows
29 Aug 23 14:35 UTC",No policy,No policy,392a02e4abeb496bae8b0eab7e19f812,192.168.15.10,192.168.15.10,192.168.15.1,177.190.196.142,,00-d7-6d-63-7a-a4,00-d7-6d-63-7a-a4,normal,526017,269VPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
VISTA-W0112,2023-09-11T14:52:24Z,2023-08-30T15:00:38Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-08-25T10:56:57Z,,,"General-Prevention-Windows-Workstation
30 Aug 23 15:04 UTC","General-Response-Windows
30 Aug 23 15:04 UTC","General-Sensor-Windows
30 Aug 23 15:08 UTC",No policy,No policy,bc23671fe757432180dd43998f4c115b,10.10.10.161,192.168.2.106,192.168.2.1,45.166.205.18,,00-ff-78-de-4e-59,f4-ee-08-a9-db-6d,normal,526017,2LGRQK3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-CWB-W1028,2023-09-11T14:34:17Z,2022-12-15T18:51:01Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Aspire A515-54,Acer,Workstation,Laptop,2023-08-30T11:23:39Z,,,"General-Prevention-Windows-Workstation
28 Jun 23 20:33 UTC","General-Response-Windows
15 Dec 22 19:18 UTC","General-Sensor-Windows
29 Aug 23 14:59 UTC",No policy,No policy,a39edd3bf5ab4a6684e2d16c44e904a6,10.220.100.7,192.168.100.6,192.168.100.1,187.6.153.235,,00-09-0f-aa-00-01,70-cd-0d-35-b7-f4,normal,526060,NXHQMAL00T144009499Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W3595,2023-09-06T20:53:46Z,2022-06-01T13:00:47Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-04T12:27:58Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 19:25 UTC","General-Response-Windows
01 Jun 22 13:02 UTC","General-Sensor-Windows
29 Aug 23 15:01 UTC",No policy,No policy,79540ef2200d48da8d0fc7a5407fb6dc,192.168.1.244,192.168.1.244,192.168.1.1,189.47.90.130,,00-d7-6d-2a-73-4e,00-d7-6d-2a-73-4e,normal,526017,BDGTQK3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-M3171,2023-09-11T14:21:03Z,2023-03-21T18:36:45Z,Mac,Monterey (12),21G531,,21.6.2000,"MacBookPro18,1",Apple Inc.,Workstation,Invalid Chassis Type,,,,"General-Prevention-Mac
10 Jul 23 22:29 UTC","General-Response-Mac
21 Mar 23 18:37 UTC","General-Sensor-Mac
10 Jul 23 22:29 UTC",No policy,No policy,508d6e12c08d471388ef26a8a2268d35,10.10.10.122,,,187.106.40.141,,be-d0-74-75-e5-65,,normal,4294967295,NRF2VV7Q6C,6.42.15503.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Mac
CP-W3035,2023-08-24T14:31:43Z,2022-11-10T16:01:21Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-08-24T12:11:03Z,,,"General-Prevention-Windows-Workstation
06 Jul 23 10:42 UTC","General-Response-Windows
01 Dec 22 17:15 UTC","General-Sensor-Windows
07 Jul 23 11:05 UTC",No policy,No policy,e10f16eb6a654bc1b217d66ea88d6ed4,10.111.140.158,10.111.140.158,10.111.100.1,200.170.190.57,,00-d7-6d-00-62-66,00-d7-6d-00-62-66,normal,526060,7003XF3,6.49.16303.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,TESTE-CS-GRP-BR-CP-Windows"
CP-W3110,2023-09-11T14:31:35Z,2023-07-24T20:15:49Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-05T12:04:53Z,,,"General-Prevention-Windows-Workstation
24 Jul 23 20:26 UTC","General-Response-Windows
24 Jul 23 20:18 UTC","General-Sensor-Windows
30 Aug 23 15:11 UTC",No policy,No policy,802eb5db31ca421da4127f7a39d2d65a,10.111.100.218,10.111.100.218,10.111.100.1,200.170.190.57,,c0-25-a5-2a-90-71,c0-25-a5-2a-90-71,normal,526017,5MBPSH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-CWB-W1196,2023-09-08T20:49:56Z,2022-12-15T18:56:55Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.2364,Aspire A515-54,Acer,Workstation,Laptop,2023-08-31T22:45:31Z,,,"General-Prevention-Windows-Workstation
06 Jul 23 11:00 UTC","General-Response-Windows
15 Dec 22 19:28 UTC","General-Sensor-Windows
31 Aug 23 22:52 UTC",No policy,No policy,7eab858537384baea9ff42278db5fcff,192.168.5.5,192.168.5.5,192.168.5.1,164.163.46.38,,c4-23-60-cd-72-e7,c4-23-60-cd-72-e7,normal,526060,NXHQMAL00T149077169Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
VISTA-W0082,2023-09-11T13:15:31Z,2023-03-24T19:22:36Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Inspiron 3583,Dell Inc.,Workstation,Laptop,2023-09-01T11:41:05Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 19:24 UTC","General-Response-Windows
24 Mar 23 19:23 UTC","General-Sensor-Windows
29 Aug 23 14:59 UTC",No policy,No policy,e19ede15f1de4061b9f0c1ecf0aead4c,192.168.18.49,192.168.18.49,192.168.18.1,177.55.228.154,,5c-cd-5b-0b-64-81,5c-cd-5b-0b-64-81,normal,526060,733C703,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-M3651,2023-09-11T14:28:54Z,2023-07-06T14:55:09Z,Mac,Monterey (12),21C52,,21.2.2000,"MacBookPro16,1",Apple Inc.,Workstation,Laptop,,,,"General-Prevention-Mac
10 Jul 23 19:04 UTC","General-Response-Mac
06 Jul 23 14:55 UTC","General-Sensor-Mac
06 Jul 23 14:58 UTC",No policy,No policy,59cfd8f3edb4448a9e423e0dd9d4261d,192.168.86.55,,,45.229.145.7,,88-66-5a-4a-10-3a,,normal,591594,C02G992TMD6M,6.42.15503.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Mac
CP-CWB-W1262,2023-09-11T14:35:29Z,2022-11-30T15:01:41Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.1848,Aspire A515-54,Acer,Workstation,Laptop,2023-06-30T11:59:40Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 19:38 UTC","General-Response-Windows
30 Nov 22 18:40 UTC","General-Sensor-Windows
29 Aug 23 14:59 UTC",No policy,No policy,9c14e79ce3fb49589aed0819f492883c,10.111.140.101,10.111.140.101,10.111.140.1,179.253.241.53,,5c-e4-2a-89-f3-5f,5c-e4-2a-89-f3-5f,normal,526060,NXHQMAL013202011A39Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
cp-tools-si.cpinternal.cloud,2023-09-11T14:57:30Z,2023-01-23T22:09:35Z,Linux,Ubuntu 20.04,,,5.15.0-1019-aws,t3.xlarge,Amazon EC2,Server,Other,,,,"General-Prevention-Linux
04 Jul 23 15:44 UTC","General-Response-Linux
23 Jan 23 22:14 UTC","General-Sensor-Linux
03 Feb 23 00:41 UTC",No policy,No policy,21d401c94ff4475eaabb1ebd71fc20f5,172.32.70.4,172.32.70.4,172.32.64.1,54.160.17.63,,02-0d-b4-e7-e5-bf,02-0d-b4-e7-e5-bf,normal,329303,ec218ff1-7d41-987b-a272-3b1592813036,6.41.13804.0,,AWS_EC2_V2,629948353967,i-05a495c4129e60523,us-east-1a,,,,yes,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Linux"
LOFT-W6477,2023-09-11T14:50:14Z,2023-05-03T17:03:21Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-05T00:57:46Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 14:35 UTC","General-Response-Windows
03 May 23 17:06 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,6f3a2ab228404c83b3380237cb37fddd,192.168.0.62,192.168.0.62,192.168.0.1,177.140.104.27,,00-d7-6d-63-78-47,00-d7-6d-63-78-47,normal,526017,859VPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-CWB-W1364,2023-09-11T14:30:11Z,2023-03-01T18:57:54Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Aspire A515-54,Acer,Workstation,Laptop,2023-08-17T23:28:08Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 14:23 UTC","General-Response-Windows
01 Mar 23 18:59 UTC","General-Sensor-Windows
29 Aug 23 14:59 UTC",No policy,No policy,a6c061fcc0cb44e386516f316dc635f8,10.111.100.147,10.111.100.147,10.111.100.1,131.161.217.57,,70-69-79-ac-f5-dd,70-69-79-ac-f5-dd,normal,526060,NXAX0AL00621401AEA9Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-L0740,2023-09-09T18:18:56Z,2022-03-31T14:26:12Z,Linux,Ubuntu 22.04,,,5.19.0-50-generic,Latitude 3400,Dell Inc.,Server,Laptop,,,,"General-Prevention-Linux
31 Jul 23 16:28 UTC","General-Response-Linux
18 May 23 15:11 UTC","General-Sensor-Linux
06 Sep 23 03:18 UTC",No policy,No policy,8ad263976d5b433fb28fc1b1b4182ca1,192.168.15.82,192.168.15.82,,179.87.139.169,,c0-b5-d7-ed-e8-31,c0-b5-d7-ed-e8-31,normal,526060,6MKJPZ2,6.41.13804.0,,,,,,,,,yes,,,,,,,,,,,,,,,CS-GRP-BR-Linux
CP-CWB-W1176,2023-09-01T20:06:48Z,2023-03-15T22:19:28Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.1992,Aspire A515-54,Acer,Workstation,Laptop,2023-08-29T21:26:00Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 19:24 UTC","General-Response-Windows
15 Mar 23 22:21 UTC","General-Sensor-Windows
29 Aug 23 14:46 UTC",No policy,No policy,32fb16a4e2304689a27951c667d6427f,10.111.140.84,10.111.140.84,10.111.140.1,200.170.190.57,,5c-e4-2a-8b-8e-9a,5c-e4-2a-8b-8e-9a,normal,526060,NXHQMAL013203035D69Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-M3455,2023-09-11T14:33:33Z,2022-03-24T17:16:06Z,Mac,Ventura (13),22G91,,22.6.2000,"MacBookPro16,1",Apple Inc.,Workstation,Laptop,,,,"General-Prevention-Mac
10 Jul 23 19:02 UTC","General-Response-Mac
24 Mar 22 17:19 UTC","General-Sensor-Mac
06 Jul 23 21:40 UTC",No policy,No policy,edc183ccd84c4b60af8e340c2dc9a824,192.168.86.49,,,177.181.1.177,,5c-52-30-9e-6e-75,,normal,591594,C02G612AMD6M,6.42.15503.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Mac
CP-W3172,2023-09-11T12:02:53Z,2023-07-31T19:08:15Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-08-29T03:33:28Z,,,"General-Prevention-Windows-Workstation
31 Jul 23 19:10 UTC","General-Response-Windows
31 Jul 23 19:10 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,71db26e6e057486c83fea3277f9f63c5,192.168.1.96,192.168.1.96,192.168.1.1,200.170.190.57,,00-d7-6d-10-ad-47,00-d7-6d-10-ad-47,normal,526017,5KZFKH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-SPW-3114,2023-09-11T14:37:23Z,2021-10-29T19:39:25Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-11T12:33:00Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 14:42 UTC","General-Response-Windows
15 May 23 12:25 UTC","General-Sensor-Windows
29 Aug 23 14:28 UTC",No policy,No policy,d3b05e5348e043c5bded576fe67e9e7c,10.10.140.18,10.10.140.18,10.10.140.1,177.190.196.142,,00-d7-6d-12-c0-69,00-d7-6d-12-c0-69,normal,526017,9MBPSH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-CWB-W0878,2023-09-11T14:57:27Z,2023-07-06T17:15:57Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Aspire A515-54,Acer,Workstation,Laptop,2023-08-19T03:22:35Z,,,"General-Prevention-Windows-Workstation
06 Jul 23 17:19 UTC","General-Response-Windows
06 Jul 23 17:19 UTC","General-Sensor-Windows
29 Aug 23 17:20 UTC",No policy,No policy,977ae2bc4c6d40069e52b2662069a91b,10.111.140.172,10.111.140.172,10.111.140.1,200.170.190.57,,d8-f3-bc-6d-47-0d,d8-f3-bc-6d-47-0d,normal,526060,NXHQMAL00T138028509Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W3420,2023-09-11T14:24:50Z,2021-11-24T16:39:59Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-11T12:05:16Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 19:24 UTC","General-Response-Windows
30 Jun 23 19:31 UTC","General-Sensor-Windows
30 Aug 23 21:47 UTC",No policy,No policy,9664429d55b843c582bc3f760d157079,192.168.0.35,192.168.0.35,192.168.0.1,201.17.87.91,,00-d7-6d-12-de-cd,00-d7-6d-12-de-cd,normal,526017,71CPSH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-CWB-W0974,2023-09-11T14:27:22Z,2023-03-01T13:48:06Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Aspire A515-54,Acer,Workstation,Laptop,2023-09-04T10:58:03Z,,,"General-Prevention-Windows-Workstation
28 Jun 23 20:35 UTC","General-Response-Windows
01 Mar 23 13:50 UTC","General-Sensor-Windows
29 Aug 23 14:54 UTC",No policy,No policy,178613cf6d854d1daed01eb9fe74d22f,10.111.100.95,10.111.140.59,10.111.140.1,200.170.190.57,,70-69-79-aa-ce-cb,a4-63-a1-6d-16-a1,normal,526060,NXHQMAL00B118033099Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-CWB-W2153,2023-09-11T14:26:28Z,2023-01-02T15:02:12Z,Windows,Windows 11,22621,Windows 11 Home Single Language,10.0.22621.2134,82DJ,LENOVO,Workstation,Laptop,2023-09-01T11:35:18Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 14:25 UTC","General-Response-Windows
11 May 23 06:43 UTC","General-Sensor-Windows
29 Aug 23 14:59 UTC",No policy,No policy,92c246f1197a4e4ea735a11a00fa7fd8,192.168.137.1,10.111.140.157,10.111.140.1,200.170.190.57,,b6-63-a1-73-2d-c6,a4-63-a1-73-2d-c6,normal,460517,PE07S1QT,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
